Observation,TextURN,Image,Comments
urn:cite:op:16.30001,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@ὡ,"urn:cite:hmt:vaimg.VA208RN-0379@0.1974,0.216,0.0265,0.0169",
urn:cite:op:16.30002,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@σ,"urn:cite:hmt:vaimg.VA208RN-0379@0.224,0.2199,0.0125,0.0105",
urn:cite:op:16.30003,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@ο,"urn:cite:hmt:vaimg.VA208RN-0379@0.234,0.2199,0.0092,0.0078",
urn:cite:op:16.30004,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@ἱ,"urn:cite:hmt:vaimg.VA208RN-0379@0.2414,0.2155,0.0074,0.013",
urn:cite:op:16.30005,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@μ,"urn:cite:hmt:vaimg.VA208RN-0379@0.2499,0.2194,0.0144,0.0119",
urn:cite:op:16.30006,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@ε,"urn:cite:hmt:vaimg.VA208RN-0379@0.2642,0.2171,0.0107,0.0119",
urn:cite:op:16.30007,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@ν,"urn:cite:hmt:vaimg.VA208RN-0379@0.2742,0.2188,0.01,0.0108",
urn:cite:op:16.30008,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@τ,"urn:cite:hmt:vaimg.VA208RN-0379@0.2889,0.221,0.0129,0.0086",
urn:cite:op:16.30009,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@ο[2],"urn:cite:hmt:vaimg.VA208RN-0379@0.3018,0.2213,0.0066,0.008",
urn:cite:op:16.30010,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@ι[2],"urn:cite:hmt:vaimg.VA208RN-0379@0.3088,0.2216,0.0059,0.0094",
urn:cite:op:16.30011,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@α,"urn:cite:hmt:vaimg.VA208RN-0379@0.3173,0.2224,0.0114,0.0075",
urn:cite:op:16.30012,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@ῦ,"urn:cite:hmt:vaimg.VA208RN-0379@0.3288,0.2169,0.01,0.0125",
urn:cite:op:16.30013,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@τ[2],"urn:cite:hmt:vaimg.VA208RN-0379@0.3384,0.2216,0.0089,0.008",
urn:cite:op:16.30014,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@α,"urn:cite:hmt:vaimg.VA208RN-0379@0.3466,0.221,0.0179,0.0106",
urn:cite:op:16.300016,urn:cts:greekLit:tlg0012.tlg001.msA:16.101@π,"urn:cite:hmt:vaimg.VA208RN-0379@0.3667,0.221,0.014,0.0105",
